text_reference,X,Y,labels,value
tape,9.071161,-4.9524045,49,0.0015535051365863778
interest,9.842858,-2.1409767,61,0.0015485979103723375
federal income taxes,8.376337,-2.0947695,58,0.001532547796302399
subpoena,10.642109,-5.2409244,43,0.0015283782552178056
good leader,12.570826,-2.3406498,28,0.0015267062315312075
job,12.20968,-3.5595553,47,0.0015065001794611703
common ground,10.271909,-3.2185435,54,0.0015019285738249902
point,6.7522893,-4.1685658,4,0.001497667207665294
words,13.134778,-1.6859741,-1,0.0014912300988087403
locker room banter,9.512206,-5.3719287,49,0.0014905230304698585
honest,11.55536,-3.8972287,-1,0.001481252768409931
middle east,10.020491,-4.7545457,49,0.0014732002115594922
wise,12.23021,-4.598364,51,0.0014650865904899542
deal,8.293386,-0.93879557,62,0.0014506687797154858
name,13.187799,-1.7284392,-1,0.0014460282258679695
china,8.514087,1.0732416,8,0.0014286822973851527
energy,8.51279,-3.7959726,44,0.0014264653671574616
morning,12.47917,-5.3072333,31,0.001406584313121721
history,7.239607,-4.205611,-1,0.0013718012102066969
policy,9.016719,-0.9124828,40,0.0013616696945614004
good evening,12.582316,-2.3536036,28,0.0013257091561252967
coverage,10.503904,-3.5065985,54,0.0013238264374902543
problems,11.660468,-2.1748402,-1,0.0013201819166370585
competition,9.106121,-2.1601794,-1,0.0013101235402793081
corporations,9.077685,-1.7669786,-1,0.0012975571556298159
fair,9.257925,-2.1885633,63,0.0012973512628081602
tough,12.033179,-4.4724474,51,0.001278881682219853
middle class,10.063122,-4.6845427,49,0.0012760676808473343
patrice brock,12.00341,-7.021898,25,0.0012748648337100334
high,8.62165,-2.9328802,34,0.0012729214410073472
advantage,11.878629,-3.2045321,46,0.001271175013339852
discipline,10.698901,-1.9986476,57,0.0012698075860860481
candidates,9.523982,-7.846717,7,0.0012696342447920373
laughter,11.635406,-4.6175895,51,0.001263458075143322
perfect example,11.951667,-3.1052837,46,0.0012544856628702414
bombarding places,9.895577,-4.9759884,49,0.0012442841981213431
video,9.175448,-5.092765,49,0.0012400402600751797
respect,7.606704,-2.2182698,13,0.001237980757822945
sorry,11.787249,-5.166708,51,0.0012354319831410906
expensive process,9.674471,-3.8930755,50,0.0012219503256509926
attack,9.465462,0.9764086,22,0.0012187302224206682
growth,7.86845,-1.4261442,-1,0.0012020400616819518
disabilities,10.94702,-2.1363316,57,0.0012014669105729395
anybody,11.903458,-3.5867631,47,0.0011937630561117607
pennsylvania avenue,10.897788,-7.0467935,15,0.0011913659165208083
clean coal,8.728848,-4.0580983,45,0.0011880229661956334
right,5.8199024,-2.01111,2,0.0011808208398910482
law,10.089801,-1.5836369,67,0.0011700102891524953
fine,9.187602,-4.54161,48,0.001161044623577392
big difference,7.7163177,-2.922157,12,0.0011599414491512833
tax code,8.342429,-1.9718498,58,0.001159663034441209
captain khan,12.096632,-7.4599595,24,0.0011561851369035194
treaty,9.066287,-0.68034124,40,0.0011467616882375052
terms,9.70871,-2.6633608,60,0.0011442572281349338
term workers,8.803028,-1.6889917,65,0.001140489782096906
disaster education,10.146478,-1.656493,67,0.001139098553557595
siege,8.7521,0.119509034,-1,0.0011309616190192592
public,9.385406,-1.3889277,64,0.0011298940610614287
premiums,10.342442,-4.9845247,43,0.0011278167844802935
warren buffett,12.1919,-7.423333,24,0.0011273704421474132
george washington,11.386932,-7.8167686,14,0.0011255924746394015
issues,9.975331,-1.9469289,-1,0.0011055234258646562
catastrophic,9.667106,-4.1139927,50,0.0011034142167848644
lincoln,11.553225,-7.7169495,14,0.0011023800303543378
first time,6.414492,-4.286671,5,0.001101170361893394
vast majority,8.500343,-3.0529463,34,0.0010962691248720014
order,10.964486,-2.6716478,-1,0.0010962473779807
pre,7.27476,-4.277495,4,0.0010957381914309715
record,8.087045,-1.7541322,59,0.0010900565845143283
next question,6.2914953,-4.414189,5,0.0010877503629050217
nobody,12.051904,-3.6309612,47,0.0010860090592880768
costs,7.531872,-1.1302212,39,0.0010853669439032242
way possible,11.77366,-2.4874167,38,0.001080382551616564
politics,9.399492,-1.7392017,64,0.0010741212423944044
long,9.699262,-4.55559,49,0.0010730669296009502
evidence,10.090132,-2.3040383,61,0.0010678315956033203
syrian refugees,9.785105,1.1911644,22,0.001062754799354667
abraham lincoln,11.646161,-7.676464,14,0.001060890903769114
hours,6.728758,-4.9309106,1,0.001054095586834284
miners,10.28834,0.4778527,10,0.0010493897646457234
dollars,10.359655,0.4112871,10,0.0010483140751051299
first,6.244107,-4.4323945,5,0.001047051721510354
situation,10.243256,-2.4205182,61,0.0010445310718281767
horrible things,12.739318,-1.5838455,30,0.0010425091407695087
least,6.687855,-4.171805,4,0.0010404354898198747
wrong hands,5.6524596,-2.0164044,2,0.0010358728910999319
hand,5.691123,-2.0297697,2,0.0010320527678569931
incomes,10.480693,-5.076639,43,0.001027837040438947
